City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,alice springs,-23.7,133.8833,294.9,46,100,4.63,AU,1715135205
1,punta arenas,-53.15,-70.9167,276.21,87,75,4.12,CL,1715135276
2,fale old settlement,-9.3852,-171.2468,302.6,74,93,4.68,TK,1715135276
3,waitangi,-43.9535,-176.5597,283.61,72,12,1.34,NZ,1715135276
4,albany,42.6001,-73.9662,290.26,53,100,1.55,US,1715135057
5,ndibene dahra,15.3338,-15.4766,297.9,39,0,4.0,SN,1715135277
6,praia da vitoria,38.7333,-27.0667,292.29,82,75,7.53,PT,1715135277
7,constantia,44.1833,28.65,287.53,91,82,3.01,RO,1715135277
8,roma,43.2128,-75.4557,288.0,73,100,0.45,US,1715135277
9,vilyuchinsk,52.9306,158.4028,275.3,90,100,3.69,RU,1715135278
10,atafu village,-8.5421,-172.5159,301.95,77,99,3.5,TK,1715135278
11,boumahra ahmed,36.4583,7.5139,285.87,97,100,2.15,DZ,1715135278
12,edinburgh of the seven seas,-37.0676,-12.3116,289.42,92,100,19.9,SH,1715135278
13,kaa-khem,51.6833,94.7333,286.71,33,100,1.56,RU,1715135278
14,kosciusko,33.0576,-89.5876,295.8,94,0,2.55,US,1715135279
15,thompson,55.7435,-97.8558,282.24,61,20,5.66,CA,1715135279
16,hawaiian paradise park,19.5933,-154.9731,296.97,82,100,4.12,US,1715135279
17,banyo,6.75,11.8167,295.59,70,100,1.06,CM,1715135279
18,udachny,66.4167,112.4,272.84,98,100,9.56,RU,1715135279
19,coquimbo,-29.9533,-71.3436,286.0,94,75,3.09,CL,1715135076
20,sarmiento,-45.5882,-69.07,272.58,81,38,2.59,AR,1715135280
21,jinchang,38.4953,102.1739,294.68,32,5,2.59,CN,1715135280
22,bilibino,68.0546,166.4372,273.51,81,100,0.99,RU,1715135280
23,nuuk,64.1835,-51.7216,272.49,74,16,4.63,GL,1715135280
24,thunder bay,48.4001,-89.3168,286.14,50,75,4.12,CA,1715135050
25,anastacio,-20.4836,-55.8069,298.03,53,0,2.54,BR,1715135281
26,dokri,27.3743,68.0967,306.84,20,0,1.3,PK,1715135281
27,olyokminsk,60.3736,120.4264,278.29,58,100,7.14,RU,1715135281
28,pathein,16.7833,94.7333,306.55,49,4,5.37,MM,1715135026
29,west island,-12.1568,96.8225,302.14,70,40,4.63,CC,1715135282
30,adamstown,-25.066,-130.1015,295.05,79,83,4.4,PN,1715135282
31,iqaluit,63.7506,-68.5145,269.0,80,20,4.63,CA,1715135282
32,invercargill,-46.4,168.35,280.94,83,100,3.13,NZ,1715135282
33,kargopol',61.5071,38.9456,268.91,68,100,2.3,RU,1715135283
34,hammerfest,70.6634,23.6821,271.4,69,4,2.57,NO,1715135283
35,usogorsk,63.4106,48.6872,266.3,88,39,2.22,RU,1715135283
36,chenzhou,25.8,113.0333,294.37,92,100,0.1,CN,1715135283
37,port-aux-francais,-49.35,70.2167,277.79,78,42,14.74,TF,1715135284
38,bredasdorp,-34.5322,20.0403,286.79,90,7,1.06,ZA,1715135284
39,grytviken,-54.2811,-36.5092,271.28,79,30,4.02,GS,1715135284
40,cabo san lucas,22.8909,-109.9124,299.76,25,100,3.09,MX,1715135197
41,rongelap,11.1635,166.8941,300.59,76,100,8.77,MH,1715135285
42,harper,4.375,-7.7169,299.87,86,94,3.17,LR,1715135015
43,tiksi,71.6872,128.8694,272.35,96,100,4.18,RU,1715135285
44,papatowai,-46.5619,169.4708,279.44,86,100,7.28,NZ,1715134936
45,cachoeira do sul,-30.0392,-52.8939,294.73,90,98,1.66,BR,1715135047
46,petropavlovsk-kamchatsky,53.0452,158.6483,274.48,78,100,3.58,RU,1715134959
47,mili,6.0815,171.735,301.37,83,100,7.57,MH,1715135286
48,puerto ayora,-0.7393,-90.3518,296.79,100,100,2.68,EC,1715134916
49,ushuaia,-54.8,-68.3,270.4,93,22,2.14,AR,1715134732
50,thinadhoo,0.5333,72.9333,302.41,77,100,5.82,MV,1715135287
51,brookings,44.3114,-96.7984,285.4,69,0,4.12,US,1715134750
52,yellowknife,62.456,-114.3525,283.44,96,100,7.2,CA,1715134918
53,hermanus,-34.4187,19.2345,284.71,88,0,0.56,ZA,1715134975
54,vila franca do campo,37.7167,-25.4333,291.42,99,100,3.43,PT,1715135020
55,port elizabeth,-33.918,25.5701,292.65,90,0,9.26,ZA,1715134861
56,alo,7.4178,6.7371,300.0,79,100,0.89,NG,1715135288
57,isafjordur,66.0755,-23.124,273.63,94,100,2.13,IS,1715134917
58,khandyga,62.6667,135.6,279.59,71,100,1.88,RU,1715134922
59,bethel,41.3712,-73.414,290.72,64,70,0.89,US,1715134908
60,mabaruma,8.2,-59.7833,298.17,92,100,1.32,GY,1715135289
61,blackmans bay,-43.0167,147.3167,285.78,92,100,3.24,AU,1715134919
62,jamestown,42.097,-79.2353,291.95,69,100,2.06,US,1715134949
63,aykhal,66.0,111.5,271.36,92,99,9.9,RU,1715134961
64,melchor de mencos,17.0686,-89.1522,306.15,55,0,4.12,GT,1715135290
65,vorgashor,67.5833,63.95,258.04,93,59,1.82,RU,1715134925
66,talnakh,69.4865,88.3972,262.15,90,41,2.48,RU,1715134946
67,puerto natales,-51.7236,-72.4875,272.55,86,100,1.06,CL,1715134654
68,dudinka,69.4058,86.1778,262.41,94,47,2.24,RU,1715134988
69,iwanai,42.9744,140.5089,278.48,80,100,3.53,JP,1715135291
70,morehead city,34.7229,-76.726,297.15,87,0,5.14,US,1715135047
71,cockburn town,21.4612,-71.1419,298.43,78,100,7.53,TC,1715135002
72,ribeira grande,38.5167,-28.7,289.14,94,53,1.79,PT,1715134924
73,margaret river,-33.95,115.0667,293.37,47,70,5.04,AU,1715134912
74,balcarce,-37.8462,-58.2552,289.48,99,100,0.89,AR,1715135292
75,lincoln,40.8,-96.667,292.35,44,0,3.6,US,1715135260
76,mangrol,21.1167,70.1167,300.65,83,0,4.68,IN,1715135293
77,olutanga,7.3106,122.8464,301.14,73,100,0.81,PH,1715135293
78,bamboo flat,11.7,92.7167,305.2,70,20,1.03,IN,1715134977
79,weno,7.4515,151.8468,300.49,77,100,5.82,FM,1715134950
80,itaituba,-4.2761,-55.9836,296.96,99,86,0.56,BR,1715134984
81,wailua homesteads,22.0669,-159.378,300.39,71,40,5.66,US,1715134999
82,puigcerda,42.4316,1.9282,278.93,90,40,4.53,ES,1715135294
83,undurkhaan,47.3194,110.6556,285.68,32,100,8.35,MN,1715135295
84,happy valley-goose bay,53.3168,-60.3315,275.32,69,100,6.17,CA,1715134979
85,povolzhskiy,53.5854,49.7629,286.94,66,57,5.82,RU,1715135295
86,bay roberts,47.5999,-53.2648,280.1,95,28,2.9,CA,1715135295
87,kiunga,-6.1219,141.2906,297.65,99,100,1.28,PG,1715134982
